Violation Precinct,Issue Date,count,day,month,year,dayofweek
0,2014-04-01,60,1,4,2014,1
0,2014-04-02,59,2,4,2014,2
0,2014-04-03,50,3,4,2014,3
0,2014-04-04,58,4,4,2014,4
0,2014-04-05,30,5,4,2014,5
0,2014-04-06,28,6,4,2014,6
0,2014-04-07,52,7,4,2014,0
0,2014-04-08,56,8,4,2014,1
0,2014-04-09,54,9,4,2014,2
0,2014-04-10,49,10,4,2014,3
0,2014-04-11,47,11,4,2014,4
0,2014-04-12,36,12,4,2014,5
0,2014-04-13,26,13,4,2014,6
0,2014-04-14,44,14,4,2014,0
0,2014-04-15,57,15,4,2014,1
0,2014-04-16,49,16,4,2014,2
0,2014-04-17,55,17,4,2014,3
0,2014-04-18,28,18,4,2014,4
0,2014-04-19,31,19,4,2014,5
0,2014-04-20,19,20,4,2014,6
0,2014-04-21,40,21,4,2014,0
0,2014-04-22,43,22,4,2014,1
0,2014-04-23,52,23,4,2014,2
0,2014-04-24,41,24,4,2014,3
0,2014-04-25,36,25,4,2014,4
0,2014-04-26,28,26,4,2014,5
0,2014-04-27,30,27,4,2014,6
0,2014-04-28,63,28,4,2014,0
0,2014-04-29,49,29,4,2014,1
0,2014-04-30,55,30,4,2014,2
0,2014-05-01,39,1,5,2014,3
0,2014-05-02,41,2,5,2014,4
0,2014-05-03,24,3,5,2014,5
0,2014-05-04,27,4,5,2014,6
0,2014-05-05,63,5,5,2014,0
0,2014-05-06,42,6,5,2014,1
0,2014-05-07,49,7,5,2014,2
0,2014-05-08,23,8,5,2014,3
0,2014-05-09,66,9,5,2014,4
0,2014-05-10,31,10,5,2014,5
0,2014-05-11,27,11,5,2014,6
0,2014-05-12,50,12,5,2014,0
0,2014-05-13,59,13,5,2014,1
0,2014-05-14,33,14,5,2014,2
0,2014-05-15,52,15,5,2014,3
0,2014-05-16,30,16,5,2014,4
0,2014-05-17,22,17,5,2014,5
0,2014-05-18,30,18,5,2014,6
0,2014-05-19,57,19,5,2014,0
0,2014-05-20,67,20,5,2014,1
0,2014-05-21,28,21,5,2014,2
0,2014-05-22,32,22,5,2014,3
0,2014-05-23,39,23,5,2014,4
0,2014-05-24,17,24,5,2014,5
0,2014-05-25,27,25,5,2014,6
0,2014-05-26,17,26,5,2014,0
0,2014-05-27,54,27,5,2014,1
0,2014-05-28,37,28,5,2014,2
0,2014-05-29,46,29,5,2014,3
0,2014-05-30,55,30,5,2014,4
0,2014-05-31,45,31,5,2014,5
0,2014-06-01,38,1,6,2014,6
0,2014-06-02,73,2,6,2014,0
0,2014-06-03,47,3,6,2014,1
0,2014-06-04,45,4,6,2014,2
0,2014-06-05,40,5,6,2014,3
0,2014-06-06,57,6,6,2014,4
0,2014-06-07,25,7,6,2014,5
0,2014-06-08,36,8,6,2014,6
0,2014-06-09,27,9,6,2014,0
0,2014-06-10,36,10,6,2014,1
0,2014-06-11,47,11,6,2014,2
0,2014-06-12,31,12,6,2014,3
0,2014-06-13,38,13,6,2014,4
0,2014-06-14,35,14,6,2014,5
0,2014-06-15,25,15,6,2014,6
0,2014-06-16,53,16,6,2014,0
0,2014-06-17,61,17,6,2014,1
0,2014-06-18,28,18,6,2014,2
0,2014-06-19,56,19,6,2014,3
0,2014-06-20,48,20,6,2014,4
0,2014-06-21,25,21,6,2014,5
0,2014-06-22,23,22,6,2014,6
0,2014-06-23,55,23,6,2014,0
0,2014-06-24,32,24,6,2014,1
0,2014-06-25,46,25,6,2014,2
0,2014-06-26,53,26,6,2014,3
0,2014-06-27,26,27,6,2014,4
0,2014-06-28,35,28,6,2014,5
0,2014-06-29,34,29,6,2014,6
0,2014-06-30,43,30,6,2014,0
0,2014-07-01,55,1,7,2014,1
0,2014-07-02,43,2,7,2014,2
0,2014-07-03,36,3,7,2014,3
0,2014-07-04,6,4,7,2014,4
0,2014-07-05,24,5,7,2014,5
0,2014-07-06,15,6,7,2014,6
0,2014-07-07,39,7,7,2014,0
0,2014-07-08,49,8,7,2014,1
0,2014-07-09,49,9,7,2014,2
0,2014-07-10,47,10,7,2014,3
0,2014-07-11,21,11,7,2014,4
0,2014-07-12,19,12,7,2014,5
0,2014-07-13,27,13,7,2014,6
0,2014-07-14,34,14,7,2014,0
0,2014-07-15,44,15,7,2014,1
