Violation Precinct,Issue Date,count
17,2015-06-30,2825
17,2015-07-31,2362
17,2015-08-31,2406
17,2015-09-30,1706
17,2015-10-31,2214
17,2015-11-30,2065
17,2015-12-31,1726
17,2016-01-31,2231
17,2016-02-29,2135
17,2016-03-31,2363
17,2016-04-30,2130
17,2016-05-31,2025
17,2016-06-30,2037
17,2016-07-31,1690
17,2016-08-31,1911
17,2016-09-30,1838
17,2016-10-31,1936
17,2016-11-30,1610
17,2016-12-31,1495
17,2017-01-31,1934
17,2017-02-28,1820
17,2017-03-31,2034
17,2017-04-30,1811
17,2017-05-31,1825
17,2017-06-30,1228
17,2017-07-31,12
17,2017-08-31,3
17,2017-09-30,4
17,2017-10-31,6
17,2017-11-30,13
17,2017-12-31,7
18,2014-01-31,5844
18,2014-02-28,5462
18,2014-03-31,6586
18,2014-04-30,6439
18,2014-05-31,6552
18,2014-06-30,5556
18,2014-07-31,5881
18,2014-08-31,6181
18,2014-09-30,6342
18,2014-10-31,5646
18,2014-11-30,4662
18,2014-12-31,3541
18,2015-01-31,6278
18,2015-02-28,4724
18,2015-03-31,5018
18,2015-04-30,4700
18,2015-05-31,4838
18,2015-06-30,6719
18,2015-07-31,4472
18,2015-08-31,4769
18,2015-09-30,4314
18,2015-10-31,4792
18,2015-11-30,4402
18,2015-12-31,3870
18,2016-01-31,4988
18,2016-02-29,4361
18,2016-03-31,5090
18,2016-04-30,4676
18,2016-05-31,4680
18,2016-06-30,4401
18,2016-07-31,2837
18,2016-08-31,3866
18,2016-09-30,3836
18,2016-10-31,4078
18,2016-11-30,3794
18,2016-12-31,3157
18,2017-01-31,4336
18,2017-02-28,4592
18,2017-03-31,4732
18,2017-04-30,4284
18,2017-05-31,3520
18,2017-06-30,1663
18,2017-07-31,10
18,2017-08-31,5
18,2017-09-30,13
18,2017-10-31,3
18,2017-11-30,11
18,2017-12-31,6
19,2014-01-31,10688
19,2014-02-28,9153
19,2014-03-31,11573
19,2014-04-30,11425
19,2014-05-31,11278
19,2014-06-30,10472
19,2014-07-31,10093
19,2014-08-31,9728
19,2014-09-30,11753
19,2014-10-31,11672
19,2014-11-30,8707
19,2014-12-31,7707
19,2015-01-31,15999
19,2015-02-28,9680
19,2015-03-31,10831
19,2015-04-30,10775
19,2015-05-31,9953
19,2015-06-30,11586
19,2015-07-31,9293
19,2015-08-31,10025
19,2015-09-30,9953
19,2015-10-31,10282
19,2015-11-30,8601
19,2015-12-31,6257
19,2016-01-31,8469
19,2016-02-29,9062
19,2016-03-31,10327
19,2016-04-30,9880
19,2016-05-31,9221
19,2016-06-30,8014
19,2016-07-31,7448
19,2016-08-31,9907
19,2016-09-30,10277
19,2016-10-31,10205
19,2016-11-30,8235
19,2016-12-31,6859
19,2017-01-31,8565
19,2017-02-28,8363
19,2017-03-31,9217
19,2017-04-30,9711
19,2017-05-31,9670
19,2017-06-30,7243
19,2017-07-31,6
19,2017-08-31,4
19,2017-09-30,10
19,2017-10-31,9
19,2017-11-30,10
19,2017-12-31,12
20,2014-01-31,3504
20,2014-02-28,3054
20,2014-03-31,4170
20,2014-04-30,4600
20,2014-05-31,4563
20,2014-06-30,3882
20,2014-07-31,3794
20,2014-08-31,4144
20,2014-09-30,4345
20,2014-10-31,3989
20,2014-11-30,3441
20,2014-12-31,2885
20,2015-01-31,6094
20,2015-02-28,3452
20,2015-03-31,3493
20,2015-04-30,3530
20,2015-05-31,3676
20,2015-06-30,4536
20,2015-07-31,3475
20,2015-08-31,3743
20,2015-09-30,4062
20,2015-10-31,4348
20,2015-11-30,3524
20,2015-12-31,2211
20,2016-01-31,3143
20,2016-02-29,3448
20,2016-03-31,4091
20,2016-04-30,3703
20,2016-05-31,3303
20,2016-06-30,2662
20,2016-07-31,2466
20,2016-08-31,2682
20,2016-09-30,3287
20,2016-10-31,3058
20,2016-11-30,2338
20,2016-12-31,1891
20,2017-01-31,2379
20,2017-02-28,2409
20,2017-03-31,2514
20,2017-04-30,2753
20,2017-05-31,2789
20,2017-06-30,2349
20,2017-07-31,2
20,2017-08-31,5
20,2017-09-30,2
20,2017-10-31,4
20,2017-11-30,4
20,2017-12-31,3
21,2014-01-31,13
21,2014-02-28,9
21,2014-03-31,9
21,2014-04-30,5
21,2014-05-31,9
21,2014-06-30,10
21,2014-07-31,3
21,2014-08-31,5
21,2014-09-30,10
21,2014-10-31,11
21,2014-11-30,5
21,2014-12-31,4
21,2015-01-31,4
21,2015-02-28,6
21,2015-03-31,14
21,2015-04-30,3
21,2015-05-31,3
21,2015-06-30,3
21,2015-07-31,6
21,2015-08-31,7
21,2015-09-30,11
21,2015-10-31,7
21,2015-11-30,3
21,2015-12-31,6
21,2016-01-31,9
21,2016-02-29,6
21,2016-03-31,8
21,2016-04-30,3
21,2016-05-31,3
21,2016-06-30,4
21,2016-07-31,3
21,2016-08-31,2
21,2016-09-30,2
21,2016-10-31,1
21,2016-11-30,1
21,2016-12-31,2
21,2017-01-31,1
21,2017-02-28,3
21,2017-03-31,4
21,2017-04-30,5
21,2017-05-31,1
22,2014-01-31,63
22,2014-02-28,77
22,2014-03-31,54
22,2014-04-30,49
22,2014-05-31,42
22,2014-06-30,40
22,2014-07-31,53
22,2014-08-31,52
22,2014-09-30,46
22,2014-10-31,44
22,2014-11-30,65
22,2014-12-31,144
22,2015-01-31,101
22,2015-02-28,34
22,2015-03-31,26
22,2015-04-30,23
22,2015-05-31,38
22,2015-06-30,41
22,2015-07-31,31
22,2015-08-31,25
22,2015-09-30,19
22,2015-10-31,25
22,2015-11-30,28
22,2015-12-31,14
22,2016-01-31,18
22,2016-02-29,18
22,2016-03-31,12
22,2016-04-30,17
22,2016-05-31,6
22,2016-06-30,8
22,2016-07-31,15
22,2016-08-31,16
22,2016-09-30,30
22,2016-10-31,12
22,2016-11-30,15
22,2016-12-31,9
22,2017-01-31,5
22,2017-02-28,8
22,2017-03-31,8
22,2017-04-30,9
22,2017-05-31,29
22,2017-06-30,1
22,2017-08-31,1
23,2014-01-31,1839
23,2014-02-28,1701
23,2014-03-31,2074
23,2014-04-30,2040
23,2014-05-31,2056
23,2014-06-30,1895
23,2014-07-31,1852
23,2014-08-31,1745
23,2014-09-30,2089
23,2014-10-31,1913
23,2014-11-30,1518
23,2014-12-31,1665
23,2015-01-31,2705
23,2015-02-28,1874
23,2015-03-31,2373
23,2015-04-30,2214
23,2015-05-31,2143
23,2015-06-30,3039
23,2015-07-31,1830
23,2015-08-31,1884
23,2015-09-30,1800
23,2015-10-31,1814
23,2015-11-30,1673
23,2015-12-31,1623
23,2016-01-31,1497
23,2016-02-29,1864
23,2016-03-31,2199
23,2016-04-30,2112
23,2016-05-31,1832
23,2016-06-30,1809
23,2016-07-31,1921
23,2016-08-31,1995
23,2016-09-30,2023
23,2016-10-31,1915
23,2016-11-30,1752
23,2016-12-31,1601
23,2017-01-31,1729
23,2017-02-28,1902
23,2017-03-31,1916
23,2017-04-30,2085
23,2017-05-31,2233
23,2017-06-30,1060
23,2017-07-31,7
23,2017-08-31,10
23,2017-09-30,7
23,2017-10-31,1
23,2017-11-30,2
23,2017-12-31,9
24,2014-01-31,2769
24,2014-02-28,2320
24,2014-03-31,3214
24,2014-04-30,3264
24,2014-05-31,3223
24,2014-06-30,3154
24,2014-07-31,3135
24,2014-08-31,3048
24,2014-09-30,3286
24,2014-10-31,3587
24,2014-11-30,3254
24,2014-12-31,3036
24,2015-01-31,3517
24,2015-02-28,2414
24,2015-03-31,2894
24,2015-04-30,2785
24,2015-05-31,3057
24,2015-06-30,3945
24,2015-07-31,2731
24,2015-08-31,2882
24,2015-09-30,3011
24,2015-10-31,3421
24,2015-11-30,2557
24,2015-12-31,1895
24,2016-01-31,2581
24,2016-02-29,2981
24,2016-03-31,3261
24,2016-04-30,2760
24,2016-05-31,2442
24,2016-06-30,2604
24,2016-07-31,1532
24,2016-08-31,2155
24,2016-09-30,2191
24,2016-10-31,2251
24,2016-11-30,2062
24,2016-12-31,1509
24,2017-01-31,1676
24,2017-02-28,1445
24,2017-03-31,1600
24,2017-04-30,1632
24,2017-05-31,1664
24,2017-06-30,1207
24,2017-07-31,12
24,2017-09-30,3
24,2017-10-31,5
24,2017-11-30,4
24,2017-12-31,3
25,2014-01-31,1347
25,2014-02-28,1320
25,2014-03-31,1623
25,2014-04-30,1688
25,2014-05-31,1624
25,2014-06-30,1637
25,2014-07-31,1551
25,2014-08-31,1996
25,2014-09-30,2186
25,2014-10-31,1747
25,2014-11-30,1717
25,2014-12-31,1486
25,2015-01-31,1854
25,2015-02-28,1438
25,2015-03-31,1772
25,2015-04-30,1661
25,2015-05-31,1686
25,2015-06-30,2466
25,2015-07-31,1793
25,2015-08-31,1619
25,2015-09-30,1858
25,2015-10-31,1605
25,2015-11-30,1115
25,2015-12-31,1041
25,2016-01-31,1237
25,2016-02-29,1172
25,2016-03-31,1236
25,2016-04-30,1522
25,2016-05-31,1156
25,2016-06-30,1087
25,2016-07-31,1252
25,2016-08-31,1383
25,2016-09-30,1477
25,2016-10-31,1482
25,2016-11-30,1370
25,2016-12-31,1031
25,2017-01-31,1227
25,2017-02-28,1213
25,2017-03-31,1218
25,2017-04-30,1742
25,2017-05-31,1491
25,2017-06-30,794
25,2017-07-31,1
25,2017-08-31,2
25,2017-09-30,10
25,2017-10-31,4
25,2017-11-30,5
25,2017-12-31,12
26,2014-01-31,1084
26,2014-02-28,987
26,2014-03-31,1120
26,2014-04-30,1238
26,2014-05-31,1438
26,2014-06-30,1257
26,2014-07-31,1275
26,2014-08-31,1299
26,2014-09-30,1416
26,2014-10-31,1320
26,2014-11-30,992
26,2014-12-31,863
26,2015-01-31,1139
26,2015-02-28,755
26,2015-03-31,895
26,2015-04-30,1036
26,2015-05-31,954
26,2015-06-30,1320
26,2015-07-31,1144
26,2015-08-31,1215
